,ano,precipitacao_media,precipitacao_total,temperatura_min,temperatura_max,temperatura_media,umidade_media
0,2004,0.11681385984502418,3452.2,-1.5,37.0,19.269183922046285,72.92623172712507
1,2005,0.16360731404225104,5529.6,-0.2,39.4,18.671254437869823,72.54809077809799
2,2006,0.15324814148972354,6308.0,-0.9,38.7,19.009996616232417,72.58942939396177
3,2007,0.21198130306210053,8888.8,-3.5,38.2,18.72839494395421,74.49238578680203
4,2008,0.1676266756192897,6990.2,-1.7,38.0,18.451287024399587,72.79122632625301
5,2009,0.21259995728828038,8959.6,-3.6,38.5,18.548907291839686,74.17704602159037
6,2010,0.1790033466281575,7809.2,-1.9,38.5,18.60464860404346,73.65533991865195
7,2011,0.1634244275180688,6715.6,-1.4,39.4,18.598712676124887,73.60894970054049
8,2012,0.16174823248553852,7046.4,-2.8,39.6,19.60184853494994,70.86022108485825
9,2013,0.17946808769496558,7375.6,-1.0,38.9,18.477877527187797,73.0332817527571
10,2014,0.24311458269266253,7905.6,-0.6,40.6,19.59870840765115,75.59407097607479
11,2015,0.2280330222541278,7623.6,0.8,36.5,19.582618449389805,76.05347625606323
12,2016,0.17292135514871357,5686.0,-0.5,38.9,18.730732033697272,75.98314143481049
13,2017,0.21525500910746814,8508.6,-1.7,38.6,19.823041311442232,74.57749267884535
14,2018,0.17872068439942967,7270.0,-1.6,38.6,19.035032299445643,74.76046036073825
15,2019,0.17684862205179144,7655.6,-2.6,40.3,19.475917741085947,74.88037374574243
