País de origem;País de destino;Quantidade exportada em litros;Valor em USD
Brasil;Alemanha;1121258.0;2923806
Brasil;Angola;256126.0;722895
Brasil;Anguilla;0.0;0
Brasil;Antígua e Barbuda;256.0;1740
Brasil;Argentina;49511.0;214263
Brasil;Aruba;1350.0;2435
Brasil;Austrália;271572.0;449783
Brasil;Bahamas;10591.0;62559
Brasil;Bahrein;482.0;2144
Brasil;Barbados;36.0;394
Brasil;Belize;9.0;29
Brasil;Benin;25749.0;49840
Brasil;Bolívia;193790.0;242340
Brasil;Bulgária;117.0;1579
Brasil;Bélgica;462588.0;1450165
Brasil;Cabo Verde;12609.0;50239
Brasil;Camarões;1749.0;7476
Brasil;Canadá;196878.0;1102024
Brasil;Chile;83992.0;132813
Brasil;China;2227968.0;3746270
Brasil;Chipre;1085.0;2419
Brasil;Colômbia;8441.0;29360
Brasil;Congo;360.0;570
Brasil;Coreia do Sul;4730.0;19339
Brasil;Costa Rica;55.0;200
Brasil;Costa do Marfim;0.0;0
Brasil;Cuba;273697.0;309724
Brasil;Curaçao;70221.0;128754
Brasil;Dinamarca;116593.0;433189
Brasil;El Salvador;55.0;100
Brasil;Emirados Árabes;11503.0;48023
Brasil;Equador;2702.0;3588
Brasil;Eslováquia;585.0;16063
Brasil;Espanha;1992972.0;3808426
Brasil;Estados Unidos;4240340.0;10706153
Brasil;Estônia;109742.0;149467
Brasil;Filipinas;10344.0;18691
Brasil;Finlândia;131016.0;610945
Brasil;França;408207.0;908851
Brasil;Gana;35098.0;50453
Brasil;Gibraltar;23.0;93
Brasil;Grécia;935.0;4259
Brasil;Guatemala;1617.0;8739
Brasil;Guiana;1207.0;4965
Brasil;Guiné Equatorial;20684.0;81903
Brasil;Guiné-Bissau;13048.0;11272
Brasil;Haiti;168593.0;283861
Brasil;Holanda;1579356.0;4354434
Brasil;Honduras;176.0;610
Brasil;Hong Kong;112095.0;334299
Brasil;Hungria;540.0;4103
Brasil;Ilha de Man;28.0;175
Brasil;Ilhas Cayman;38.0;309
Brasil;Ilhas Marshall;8199.0;18222
Brasil;Ilhas Virgens Americanas;0.0;0
Brasil;Iraque;0.0;0
Brasil;Irlanda;16905.0;104252
Brasil;Itália;88972.0;236953
Brasil;Jamaica;0.0;0
Brasil;Japão;2739302.0;3135974
Brasil;Jordânia;0.0;0
Brasil;Letônia;387.0;3723
Brasil;Libéria;662.441;23168
Brasil;Luxemburgo;77582.0;412055
Brasil;Líbano;0.0;0
Brasil;Malta;4164.0;10020
Brasil;Malásia;63.0;143
Brasil;Montenegro;9.0;46
Brasil;México;8740.0;59001
Brasil;Namíbia;340.0;722
Brasil;Nicarágua;24.0;24
Brasil;Nigéria;51091.0;71091
Brasil;Noruega;60312.0;250996
Brasil;Nova Zelândia;13215.0;64061
Brasil;Panamá;12633.0;38996
Brasil;Paraguai;21625692.0;23651429
Brasil;Peru;14948.0;36682
Brasil;Polônia;164306.0;621164
Brasil;Porto Rico;0.0;0
Brasil;Portugal;563979.0;725734
Brasil;Qatar;13338.0;81606
Brasil;Quênia;35944.0;92361
Brasil;Reino Unido;1301483.0;4587489
Brasil;República Dominicana;651.0;3626
Brasil;República Tchéquia;250793.0;824810
Brasil;Rússia;39558559.0;25474282
Brasil;Senegal;0.0;0
Brasil;Serra Leoa;18.0;717
Brasil;Singapura;30819.0;99527
Brasil;Suriname;36517.0;48632
Brasil;Suécia;120535.0;375609
Brasil;Suíça;332424.0;1293050
Brasil;São Tomé e Príncipe;2184.0;2357
Brasil;Tailândia;975.0;2897
Brasil;Taiwan;80182.0;275161
Brasil;Tanzânia;0.0;0
Brasil;Togo;5195.0;7832
Brasil;Trinidade e Tobago;945.0;4380
Brasil;Tunísia;1300.0;1042
Brasil;Turquia;475.0;359
Brasil;Uruguai;21008.0;75120
Brasil;Venezuela;22494.0;38095
Brasil;Vietnã;11596.0;14514
Brasil;África do Sul;26.0;95
Brasil;Áustria;675.0;5220
Brasil;Índia;65.0;306
